season,team,ol_score_0_100
2022,HOU,43.633434349088354
2022,IND,14.996866242606353
2022,JAX,88.98859814831256
2022,KC,85.72018027265781
2022,LA,0.0
2022,LAC,59.49108485598412
2022,LV,59.775663286400615
2022,MIA,54.05163493273636
2022,MIN,32.20344688319669
2022,NE,68.63490769490005
2022,NO,59.72930850771093
2022,NYG,26.32014764316337
2022,NYJ,48.95906758288766
2022,PHI,75.16110878575645
2022,PIT,64.20602217001438
2022,SEA,40.70469084471151
2022,SF,60.33825438101968
2022,TB,100.0
2022,TEN,4.111623489556958
2022,WAS,21.640720640045746
2023,ARI,63.752465460940456
2023,ATL,69.53110891190002
2023,BAL,74.39279946419472
2023,BUF,100.0
2023,CAR,34.09001345255357
2023,CHI,52.574078734589264
2023,CIN,53.648502730899615
2023,CLE,61.61675141890918
2023,DAL,80.31892847592039
2023,DEN,30.84867425077813
2023,DET,70.71852465206355
2023,GB,89.3089314884053
2023,HOU,73.2943212740278
2023,IND,79.22592049748219
2023,JAX,80.99373868791734
2023,KC,82.10609593108407
2023,LA,77.04309604999423
2023,LAC,72.15266782619749
2023,LV,68.33497869665291
2023,MIA,95.49291700604866
2023,MIN,34.47933288205376
2023,NE,59.941104943791714
2023,NO,85.54515368143079
2023,NYG,15.639300635951052
2023,NYJ,33.409280167508115
2023,PHI,86.33562972219592
2023,PIT,66.4913709183507
2023,SEA,75.7316494381141
2023,SF,68.11940956890624
2023,TB,77.47056324125224
2023,TEN,0.0
2023,WAS,42.39456658744756
2024,ARI,95.74033795983662
2024,ATL,52.31758313163242
2024,BAL,86.26040689914278
2024,BUF,100.0
2024,CAR,57.73867620922941
2024,CHI,17.21076596443634
2024,CIN,31.2289834746208
2024,CLE,0.0
2024,DAL,66.74090213086942
2024,DEN,97.6440721322883
2024,DET,47.46547221478821
2024,GB,67.85288796598616
2024,HOU,7.720508722279614
2024,IND,54.98395780090975
2024,JAX,75.05281542139524
2024,KC,25.036326865807943
2024,LA,40.21216723494845
2024,LAC,13.20673296764744
2024,LV,38.28074459490805
2024,MIA,60.099297997968016
2024,MIN,19.8497952914982
2024,NE,19.230473880410777
2024,NO,55.13310432921407
2024,NYG,18.4378434527729
2024,NYJ,52.95691133160018
2024,PHI,27.772617471412552
2024,PIT,1.1595676115229547
2024,SEA,22.320868102262448
2024,SF,61.49622490593599
2024,TB,84.90608892344679
2024,TEN,11.566558323994174
2024,WAS,62.609275973638475
2025,ARI,24.417105144253707
2025,ATL,89.43108439648823
2025,BAL,18.12861800420658
2025,BUF,70.31830708388011
2025,CAR,47.579834679709826
2025,CHI,85.61508986940726
2025,CIN,50.68971839859165
2025,CLE,45.35253869085371
2025,DAL,79.44670330572421
2025,DEN,100.0
2025,DET,21.332533350011605
2025,GB,81.29925900584608
2025,HOU,65.51321442436935
2025,IND,66.41162226548838
2025,JAX,61.04125424788811
2025,KC,54.90923756734617
2025,LA,69.67188943425658
2025,LAC,15.027587687330701
2025,LV,46.281090708276835
2025,MIA,74.22936529004232
2025,MIN,0.0
2025,NE,20.45611938855969
2025,NO,71.50516233583262
2025,NYG,37.01116512525673
2025,NYJ,6.405300925092287
2025,PHI,36.134622247630844
2025,PIT,68.69160993860382
2025,SEA,80.78324963358249
2025,SF,53.434892113521364
2025,TB,86.37211195613726
2025,TEN,3.9475957736203307
2025,WAS,56.28817575983864
