schedule_season,schedule_week,team,elo_pre,elo_post
2019,4,TAMPA BAY BUCCANEERS,1499.9988070133431,1500.0022315355263
2019,4,TENNESSEE TITANS,1499.9989751502778,1500.0023995882323
2019,5,ARIZONA CARDINALS,1499.9909420043575,1499.9933805073654
2019,5,ATLANTA FALCONS,1499.9944932942853,1499.9919300510364
2019,5,BALTIMORE RAVENS,1499.9998582517917,1500.0022967270636
2019,5,BUFFALO BILLS,1500.0029619036884,1500.006479909444
2019,5,CAROLINA PANTHERS,1500.0013553105453,1500.0039185880016
2019,5,CHICAGO BEARS,1500.0011553496252,1499.99904772501
2019,5,CINCINNATI BENGALS,1499.9914986043634,1499.9890601013556
2019,5,CLEVELAND BROWNS,1500.0001899962424,1499.9976168900216
2019,5,DALLAS COWBOYS,1500.003359373776,1499.9998413711098
2019,5,DENVER BRONCOS,1499.9915977668763,1499.995115855054
2019,5,GREEN BAY PACKERS,1500.0042836103148,1500.007801612981
2019,5,HOUSTON TEXANS,1499.9995518633104,1500.0021151065594
2019,5,INDIANAPOLIS COLTS,1499.997802325313,1500.0012253249774
2019,5,JACKSONVILLE JAGUARS,1500.0003041714951,1499.9977408940388
2019,5,KANSAS CITY CHIEFS,1500.0113346790984,1500.0079116794338
2019,5,LOS ANGELES CHARGERS,1500.0006913372395,1499.9971732490617
2019,5,LOS ANGELES RAMS,1500.0044622182195,1500.0035840489547
2019,5,MINNESOTA VIKINGS,1500.0001168861088,1500.0036348581875
2019,5,NEW ORLEANS SAINTS,1500.0035186832297,1500.0060819586713
2019,5,NEW YORK GIANTS,1499.9956093012595,1499.9920913291808
2019,5,NEW YORK JETS,1499.993219445919,1499.9906562103029
2019,5,OAKLAND RAIDERS,1500.00006119065,1500.0021688152651
2019,5,PHILADELPHIA EAGLES,1499.999172216442,1500.0017354520583
2019,5,PITTSBURGH STEELERS,1499.9964667418235,1499.9940282665516
2019,5,SAN FRANCISCO 49ERS,1500.0083574972002,1500.010930603421
2019,5,SEATTLE SEAHAWKS,1500.0027610425636,1500.0036392118284
2019,5,TAMPA BAY BUCCANEERS,1500.0022315355263,1499.9996682600847
2019,5,TENNESSEE TITANS,1500.0023995882323,1499.9988815824768
2019,6,ARIZONA CARDINALS,1499.9933805073654,1499.99429314199
2019,6,ATLANTA FALCONS,1499.9919300510364,1499.9910174164118
2019,6,BALTIMORE RAVENS,1500.0022967270636,1500.0048587020844
