season,team,dl_score_0_100
2023,LV,46.95415330654148
2023,MIA,100.0
2023,MIN,37.11154939355841
2023,NE,14.547241427221351
2023,NO,6.009439300667636
2023,NYG,15.625341788386208
2023,NYJ,78.00515240143069
2023,PHI,30.977369859481737
2023,PIT,61.91086863410518
2023,SEA,54.24567765488305
2023,SF,53.17686634711912
2023,TB,34.27911041785357
2023,TEN,30.367748510455396
2023,WAS,20.812119224083272
2024,ARI,33.9462581573637
2024,ATL,9.015673352689637
2024,BAL,75.56327384502734
2024,BUF,54.782038671348154
2024,CAR,3.474785685977892
2024,CHI,80.00960459914873
2024,CIN,49.20484114166101
2024,CLE,89.05976900818135
2024,DAL,89.6606945187875
2024,DEN,100.0
2024,DET,35.799241932562786
2024,GB,48.725142407417145
2024,HOU,76.67235640405418
2024,IND,32.83948216022415
2024,JAX,0.0
2024,KC,78.38251406372659
2024,LA,45.03969216609513
2024,LAC,53.21334533849567
2024,LV,29.084310700577184
2024,MIA,27.58296116461407
2024,MIN,67.15263528289556
2024,NE,0.21331517581255305
2024,NO,24.571217818374848
2024,NYG,67.31023359362487
2024,NYJ,45.607370120547294
2024,PHI,44.429020909699815
2024,PIT,56.14786214148019
2024,SEA,77.60964969035932
2024,SF,47.18961247905736
2024,TB,56.90383782258534
2024,TEN,23.437262637925564
2024,WAS,49.47666210102532
2025,ARI,32.76271818052373
2025,ATL,45.82491679484001
2025,BAL,13.062775078457792
2025,BUF,45.82491679484001
2025,CAR,14.827224926291516
2025,CHI,45.82491679484001
2025,CIN,13.850145814479552
2025,CLE,45.82491679484001
2025,DAL,50.110323452794226
2025,DEN,100.0
2025,DET,71.35610727376384
2025,GB,55.80910120538081
2025,HOU,42.26358531150862
2025,IND,54.83531037334459
2025,JAX,15.812789117981792
2025,KC,55.74584109808129
2025,LA,78.89761480704178
2025,LAC,56.902131731135725
2025,LV,26.927987927664766
2025,MIA,32.72415220697774
2025,MIN,45.82491679484001
2025,NE,36.03480461613967
2025,NO,44.162478816183906
2025,NYG,37.74380583045441
2025,NYJ,45.82491679484001
2025,PHI,39.80707670461179
2025,PIT,72.62966399339014
2025,SEA,55.58214028146733
2025,SF,0.0
2025,TB,52.01717644682144
2025,TEN,58.85753305572046
2025,WAS,47.48735477349611
