season,week,team,off_epa,off_sr,pass_rate,rush_rate,air_yds,qb_epa,qb_hit,sacks,plays,def_epa,def_sr,off_epa_r8,off_sr_r8,def_epa_r8,def_sr_r8,pass_rate_r8,rush_rate_r8,qb_epa_r8
2024,18,PIT,-0.002687775,0.43421054,0.5263158,0.27631578,7.322581,-0.002687775,7.0,4.0,76,0.058444217,0.5280899,-0.03670553449774161,0.4613689295947552,0.02827671729028225,0.49172406643629074,0.4619688540697098,0.31022002175450325,-0.03298189915949479
2024,19,PIT,0.076494485,0.40983605,0.60655737,0.13114753,8.3,0.076494485,7.0,4.0,61,0.20137686,0.5280899,-0.01427753415191546,0.4610520452260971,0.0741028618067503,0.5055201128125191,0.4842170961201191,0.2845216281712055,-0.010553898813668638
2025,1,PIT,0.20862925,0.5131579,0.46753246,0.24675325,4.633333,0.20862925,7.0,4.0,77,0.15785076,0.55,0.01852005155524239,0.47460154443979263,0.09970199875533581,0.5168376825749874,0.4897174760699272,0.26683637127280235,0.022243686893489212
2025,2,PIT,-0.21041146,0.37333333,0.55263156,0.2631579,5.3142858,-0.21041146,7.0,3.0,76,0.028033318,0.4512195,-0.03182881145039573,0.44487932324409485,0.09211334795691073,0.5009509660303593,0.4997304864227772,0.26813770085573196,-0.02810517611214891
2025,3,PIT,0.03746809,0.52238804,0.3970588,0.3529412,4.9565215,0.03746809,3.0,0.0,68,-0.08275977,0.5060241,-0.023566432355437428,0.45616548135876656,0.10442152642644942,0.5125735476613045,0.5021067410707474,0.26347486302256584,-0.019842797017190605
2025,4,PIT,0.140713,0.5882353,0.36231884,0.3768116,3.3181818,0.140713,3.0,2.0,69,0.05569001,0.47252747,0.004709315428044647,0.4715052396059036,0.09723628754727542,0.5117990560829639,0.4892069399356842,0.2760935537517071,0.00843295076629147
2025,6,PIT,0.11521414,0.43243244,0.41333333,0.33333334,7.4333334,0.11521414,3.0,0.0,75,-0.080335334,0.4329897,0.029426009336020797,0.46626442298293114,0.06623748387210071,0.49611756950616837,0.4815787337720394,0.28250380977988243,0.03314964467426762
2025,7,PIT,0.26582983,0.5540541,0.49333334,0.26666668,9.088235,0.26582983,2.0,0.0,75,0.21908686,0.5368421,0.07890619611134753,0.47845596447587013,0.06967336381785572,0.5007228329777718,0.47738518938422203,0.28089090809226036,0.07890619611134753
2025,8,PIT,0.01683642,0.4375,0.5625,0.225,6.6666665,0.06436999,5.0,3.0,80,0.1712627,0.4939759,0.08134672045707703,0.47886714711785316,0.0837756737601012,0.49645858630537987,0.4819082133471966,0.27447643503546715,0.08728841692209244
2025,9,PIT,0.04702894,0.4625,0.49382716,0.25925925,2.942857,0.09543995,3.0,3.0,81,-0.041573096,0.5217391,0.0776635273359716,0.4854501411318779,0.05340692983008921,0.4956647418439388,0.46781693771481514,0.29049040004611015,0.08965659979730844
2023,1,SEA,-0.059965048,0.5074627,0.4852941,0.25,4.8846154,-0.059965048,5.0,2.0,68,0.18930465,0.5,,,,,,,
2023,2,SEA,0.09408911,0.51086956,0.5217391,0.23913044,6.3170733,0.09408911,1.0,1.0,92,-0.025698205,0.48101267,,,,,,,
2023,3,SEA,0.16519913,0.5326087,0.4408602,0.32258064,8.25,0.16519913,8.0,2.0,93,0.012702352,0.37037036,,,,,,,
2023,4,SEA,-0.13382235,0.44927537,0.44927537,0.3478261,4.923077,-0.13382235,3.0,2.0,69,-0.38988236,0.32954547,0.01637521106749773,0.5000540763139725,-0.053393389796838164,0.4202321246266365,0.47429220378398895,0.2898842915892601,0.01637521106749773
2023,6,SEA,-0.055370197,0.44186047,0.59302324,0.25581396,8.414634,-0.055370197,13.0,4.0,86,-0.026071943,0.44285715,0.002026129513978958,0.4884153544902802,-0.04792910050600767,0.4247571289539337,0.4980384111404419,0.2830702245235443,0.002026129513978958
2023,7,SEA,-0.0047256267,0.46478873,0.4027778,0.4027778,9.541667,-0.0047256267,2.0,2.0,72,-0.14743419,0.33734939,0.0009008368166784445,0.48447758456071216,-0.06451328207428257,0.4101891716321309,0.48216164112091064,0.30302148560682934,0.0009008368166784445
2023,8,SEA,0.007908214,0.4520548,0.527027,0.22972973,7.675676,0.007908214,3.0,1.0,74,-0.02502742,0.43010753,0.001901890683387007,0.47984575799533297,-0.058872444688209465,0.4130346519606454,0.48857097966330393,0.2925512343645096,0.001901890683387007
